,product,icon,hangye1,yewu,province,lunci,jieduan,money,time,detail,investor_info,heat_num
0,艾科诺,https://img1.qimingpian.cn/uploadImg/202101/5ffe4a97348af.png,医疗健康,分子诊断技术研发商,浙江省,,A++轮,数千万人民币,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=212bc0b9ae935ba68e488218b35af20d&id=e2932b5b3b458347afb5b36a2c377c6a,"[{'investor': '招商健康', 'detail': 'http://vip.qimingpian.com/#/detailcom?src=magic&ticket=36a647b7858e5d33b01d6a1d397f3c29&id=1b62a181ae9a9939d2fe2352114bf3c8', 'invest_type_name': '独投', 'invest_type': '4'}]",5
1,青藤云安全,https://img1.qimingpian.cn/uploadImg/202106/60b88d1735b6f.png,企业服务,自适应云安全技术服务商,北京市,,战略融资,未披露,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=078445d9c74e54e6974cf818e4d48dab&id=0544dd61acf930d6a0c09f19f94c5a99,"[{'investor': '腾讯投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=8577e8587d5d5be8809e3d26a42419ac&id=8fc80fa3b229f9160f1186fb428e1dc7', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '真格基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=9d0d164ddf06545bbc29e92e58b95599&id=2910664dbc20c01ba4d6944d64b9bec2', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': 'GGV纪源资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=c03f947873ba5122990396350304c9b3&id=0759a0ffeccffaae33e89357b0b94515', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '万物资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=31cea91b57625ff08665fe8e5a4dab9c&id=5774f4c14758fbb77be8b3f0de78aef0', 'invest_type_name': '合投', 'invest_type': '3'}]",13
2,先声诊断,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202010/product5f897b0b71f15301072471.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625301782&Signature=RWNmQzBcZTE72EsxQEhaQdikd%2BQ%3D,医疗健康,精准医疗临床解决方案提供商,江苏省,,B轮,近6亿人民币,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=9430e52e0f9f5faa81acf76ab353a9be&id=773d52a6160eb7ca76a50e0549e13209,"[{'investor': '中信证券投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=669ea9b4366c59cd80503d064b0a92cf&id=9a9093509301abed83aa4231bb839591', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '中信医疗', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=2eb898700a0a517ebd9636ec32cd430c&id=d7ef5c3861971314b20d79bbb19b17e8', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '盈科资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=4188f83741875c3cab840d5f0ef5a810&id=fce2dc7190f3be4d749484ca5788410f', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '厚新健投', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=b904c16b37bf59a1b4eedfa5dce7ae96&id=734028e2b3f9ea2a9a95b8d541f65abe', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '金浦投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=c76f1f9b9ba453dd8c1d2cf93c2be7e6&id=1cf890542caae2dd5ee6a3de33e6aaaa', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '上海创瑞投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=a0483a6a566d517c89b957afe1f937b4&id=a9532e06432255fe476db8691a4df232', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '兰璞资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=cc23f8e1852d54f98104abae9c8f05cd&id=21dfed9441d25e184065cd00eca7d59c', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '宏诚投资', 'detail': '', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '金雨茂物', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=421b149b93025c11a4ac971f966bce76&id=59da74b9e0d0c29ec5951ad5c04fcd3a', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '南京市创新投资集团', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=5a330bb2256f5c408eef89b520200abc&id=c87983cffa975313b75d05f692a06c04', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '天汇资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=89632bdd84f55f5d98e53bbbe63ab55a&id=07bdb6a898bb2f2e0c0c89acf24e2a22', 'invest_type_name': '跟投', 'invest_type': '2'}]",4
3,燃鲍,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b887551c03e705880671.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625301782&Signature=HSzRthMJEPP8mH34tSPQNYptt6I%3D,餐饮业,特色餐饮品牌,北京市,,天使轮,数百万人民币,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=6d8e1b3a2cd559529d26a066cb2258ec&id=5c3b3e0fa11ca81a80d9a83d99df46af,"[{'investor': '未披露', 'detail': '', 'invest_type_name': '独投', 'invest_type': '4'}]",10
4,远读重洋,https://img1.qimingpian.cn/uploadImg/202106/60b888079c9af.png,文娱传媒,知识服务自媒体,北京市,,战略融资,未披露,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=fa972461ed6a59baa53d7ce9bcfcbfe3&id=797fe5ca4590792535a021bb2f2771b4,"[{'investor': '字节跳动战略投资部', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=2ef935e29ba05b04863b625472a51eac&id=9db4e2abfaa12e538a723cbe799f97e7', 'invest_type_name': '独投', 'invest_type': '4'}]",10
5,均胜群英,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202012/product5fc61968bec2c348554929.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625301782&Signature=hzvZN23mGNBqk9ZTrgH2R4ulB5k%3D,汽车交通,汽车零部件研发制造商,浙江省,,股权转让,1.68亿人民币,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=d87a506694e25c85b331bb74cca2842a&id=4d7310dcf76bb640df91595e007db050,"[{'investor': '均胜电子', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=5f053e50cda1589c9de7fa828100f66d&id=6530bc863cc95e411582eaa81b33855e', 'invest_type_name': '独投', 'invest_type': '4'}]",8
6,维赛客VSWORK,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b874ad977d8374506585.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625301782&Signature=kV09k%2Bhnqk61gV%2BoPPx5WHF%2Fod0%3D,先进制造,VR协作互动平台,江苏省,,天使轮,数千万人民币,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=d434f65b2f8656338852df6c9eddc773&id=c1deb20cf2a76ef73ef2dc9fe8cae722,"[{'investor': '未披露', 'detail': '', 'invest_type_name': '独投', 'invest_type': '4'}]",19
7,小笨智能,https://img1.qimingpian.cn/uploadImg/202106/60b88c2e26235.png,人工智能,智能客服平台,北京市,,B轮,近亿人民币,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=eeafe85116ae5ffa9901395975f8fd26&id=58fb1e126075e3792e7e9bab7e9b6f64,"[{'investor': '聚卓资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=8edd1161a3725481a629259201fd0c95&id=69cc6f217e4daedb76fc5403e5d5e9b7', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '华侨基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=9bc87ce6b64a558c8b0bd401483948e9&id=9e99d6439134c7481456dff2876bedef', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '晟玺股权', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=3fad43cfd8045f3ba0cb7ef37e3b2f5b&id=93a1a4b23119c61acc81ac5e2d9ef087', 'invest_type_name': '合投', 'invest_type': '3'}]",14
8,百保君,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b82bf43763a495475520.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625301782&Signature=86rvJtMG4Rq1x48texXFsioSeAM%3D,工具软件,保险服务搜索引擎服务平台,广东省,,天使轮,数千万人民币,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=340748a0cfa45336a42263d7d480fe5f&id=918371a89f8852468007797d5e5b557e,"[{'investor': '火山石资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=4cf1a9c351a259e7a85794bfdbfdddee&id=c0842b9f52de01698ed5060af3b974bd', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '青橙鹿资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=4ec6e5269f4e5ddda699ee8c5ba9c60f&id=94aa9d2ebbe4530f63e348805f7fadd8', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '青源树资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=0ab0c9e9d3a0550fbd98110a20d10f9e&id=2961b91e5709a50f6de08d4572df463a', 'invest_type_name': '跟投', 'invest_type': '2'}]",88
9,悠米互娱,https://img1.qimingpian.cn/uploadImg/202106/60b850a4bc4ef.png,游戏,游戏研发商,北京市,,战略融资,未披露,2021.06.03,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=41da486c8c2154749e0fdadd2be210ec&id=ca3109cef3485fe96315062c3c15ceff,"[{'investor': '字节跳动战略投资部', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=2ef935e29ba05b04863b625472a51eac&id=9db4e2abfaa12e538a723cbe799f97e7', 'invest_type_name': '独投', 'invest_type': '4'}]",38
