,product,icon,hangye1,yewu,province,lunci,jieduan,money,time,detail,investor_info,heat_num
0,家好食品,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b97fc25d118539617634.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625393172&Signature=E67%2BoBi8jvmwVMgCNpjEPlMoZyQ%3D,食品饮料,食品销售生产商,重庆市,,战略融资,未披露,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=46e2faaf52ce5b628639ebf4762f7550&id=61f368f8c3bf23fdf569a05066cfa2e8,"[{'investor': '自嗨锅', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=93c29e9edeb65ea7959b461a43132857&id=fac749bbc2c7c3a17acc2785ad4a3fff', 'invest_type_name': '独投', 'invest_type': '4'}]",22
1,戴可思,https://img1.qimingpian.cn/uploadImg/202106/60b9e9223126b.png,电子商务,婴童护肤品牌服务商,江苏省,,B+轮,5000万人民币,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=1676a3e6c47d5e0eb095c43a88bbf5da&id=f33780c1a6bb65b1f8f77146fb095b43,"[{'investor': '金鼎资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=59b47840230f56588697ed2b789795c2&id=6235f47e2a3d19c24a62e7f64443abda', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '祥峰投资中国基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=d598176cba6657e887abcd23e216cf6a&id=2738d425c59d0c0f6cba69bfdf164399', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '拉芳投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=0e44d022bd075fdcaf6ce8c4edbe7013&id=b6ada9fd216e2def9d3e864f9f1cf1af', 'invest_type_name': '合投', 'invest_type': '3'}]",91
2,墨睿科技,https://img1.qimingpian.cn/uploadImg/202106/60b9e766ea86c.png,先进制造,石墨烯材料研发商,广东省,,战略融资,数千万人民币,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=99e6995344735491900b7665fb79ff2a&id=ffd0e80cf9c6ff4e1fafdb63746bec9f,"[{'investor': '碧桂园创投', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=ebd509c03ea2540f8f36598f398af6b7&id=80b71524b508137596abbfeb3e19db56', 'invest_type_name': '独投', 'invest_type': '4'}]",49
3,上海快行天下,https://img1.qimingpian.cn/uploadImg/202106/60b9e68f474d4.png,物流运输,冷链物流企业,上海市,,战略融资,未披露,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=b1703c7899b05c84af691855f8259be4&id=8db63b376d9cebaf71c389fd61f3db5c,"[{'investor': '菜鸟网络', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=d21901a1483e506d929106e468513260&id=c3a7e5fdf07630a345b368e28020e0eb', 'invest_type_name': '独投', 'invest_type': '4'}]",32
4,哇哇鱼,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202006/product5ef1d9b3a01e8656755217.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625393172&Signature=mGJ8AGP0FMz11T8V9dMRglUeRyI%3D,工具软件,Emoji Keyboard输入法开发商,广东省,,A轮,数千万人民币,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=2c679816fd7b5030867fbf73d6dcdd42&id=0754bd1445887851f772cd19cb5a25fd,"[{'investor': '天映投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=9fbc245a29a556fa8e873c4b57febbe9&id=3a0b439573034fd1c50b853768146523', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '凯撒文化', 'detail': 'http://vip.qimingpian.com/#/detailcom?src=magic&ticket=7bb78afddee85628a76691528c43f71a&id=4987b01e7cf937b1df33a799d220afee', 'invest_type_name': '', 'invest_type': '0'}, {'investor': 'IGG', 'detail': 'http://vip.qimingpian.com/#/detailcom?src=magic&ticket=381481d66cf05a5ab80fdf43742fc6c8&id=f85ca2483d200e667fc12e754dc0322f', 'invest_type_name': '', 'invest_type': '0'}]",48
5,黄油相机,https://qmp.oss-cn-beijing.aliyuncs.com/product/raw/a58507f20b3688b7c2d8a50609454682.jpg?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625393172&Signature=u066Fu%2FpaBK2TZM2EmLMlCdrtGg%3D,工具软件,具有文字处理功能的拍照应用,北京市,,战略融资,未披露,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=03896466810358e2af787ab4f5da7db9&id=325cf9c88da21eee3d1a890662263149,"[{'investor': '百度投资并购部', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=2088b4edab535fa79d2b0d690b11a46d&id=75f3908944695741920da10f0757569f', 'invest_type_name': '独投', 'invest_type': '4'}]",56
6,火星电竞,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b999a0c8fe2464590868.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625393172&Signature=C3TWQtqjOft%2BVZNjN92BYNALqZ8%3D,游戏,电竞数据公司,,,A轮,数百万人民币,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=a76865dab54157fc9c6fc267cf00de36&id=acaf3e1a463fa97c17ce3f8d56f94dd5,"[{'investor': '未披露', 'detail': '', 'invest_type_name': '独投', 'invest_type': '4'}]",33
7,原位芯片,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202004/product5e856caab99b0615534186.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625393172&Signature=WfLTEssAoR%2BF5B9LdXwaonyLsLw%3D,先进制造,传感器芯片技术研发商,江苏省,,A轮,数千万人民币,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=799bc1d70d5e536f875c34677705ce09&id=7755cd11dc61c43d8d32aef7156d075d,"[{'investor': '红杉中国种子基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=a44e48ec51235de2849454cff29d9732&id=7b118395b3dc904cb003aecd895be1e1', 'invest_type_name': '领投', 'invest_type': '1'}]",118
8,919氢仓,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b97b3023c05930258695.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625393172&Signature=QiK3J4Ndu%2Bna%2FeyXYmwnf1aROsI%3D,服装纺织,潮流服饰量贩集市品牌,上海市,,天使轮,千万级人民币,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=61e7380a384e57f59dda59e297cdef2e&id=7f37e4a56aeb96eed58f6b690b4f820d,"[{'investor': '青松基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=685797569b575e68908e998f4b24cccd&id=cb00b65bfcfb1a0264c2024ed4462a2c', 'invest_type_name': '独投', 'invest_type': '4'}, {'investor': '个人投资者', 'detail': '', 'invest_type_name': '独投', 'invest_type': '4'}]",103
9,宸境科技,https://img1.qimingpian.cn/uploadImg/202106/60b9789f7b960.png,文娱传媒,空间智能技术研发商,广东省,,Pre-A轮,数千万美元,2021.06.04,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=2d3d92c2d647514eb13e2ccdd3fc7aef&id=01ad0f96849b5ee30069087f3b296ac1,"[{'investor': 'OPPO战略投资部', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=14e090440f9c5cfaa3401d0be9758566&id=2dc0404614a3b80a443b8ceed229e7d9', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '斯道资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=a531a33a693d5d37905cabebd35d3c07&id=ba54d5a942d8d3cbf39c2b92178d00e7', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '广汽资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=000c88848d1759afb25d28891b6ae7f9&id=0f47f777464a921a66e235ca731141dc', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '上汽加州风投基金', 'detail': '', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '越秀产业基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=0d741f8f490753268177d081e6a9025c&id=225662797b5e31c37c267fc2ebea9c8a', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '复星锐正资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=b1633ba218af5fba8c111b5d67224042&id=83d4ac1af967df31fb89c4c1c765c70a', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '欣旺达', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=04db24789f465f97b3696618d914f423&id=389ec35929c5969942245961f88320e8', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '火山石资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=4cf1a9c351a259e7a85794bfdbfdddee&id=c0842b9f52de01698ed5060af3b974bd', 'invest_type_name': '跟投', 'invest_type': '2'}]",202
