,product,icon,hangye1,yewu,province,lunci,jieduan,money,time,detail,investor_info,heat_num
0,陆芯电子,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202001/product5e1122e6c47fd188067096.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=0vzffCzQJIZeouT2rGV0eVPb%2B48%3D,生产制造,功率半导体器件研发商,上海市,,C轮,未披露,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=401b7e0ddc9a5dbfbe037937d74f8d1b&id=219c2ea28a527ab348a16ef4fdc86804,"[{'investor': '国投创业', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=5b7544a14f0855faa9e21bec12afc25d&id=af23bdc88b074b662631c6f09314d549', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '思源电气', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=60a2b8c534c85cbe8ec8d14f30c06529&id=ac3d1617108e1652e4540bfaf513d958', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '富海中小企业发展基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=c6874d80f4345f95a59b3028a9489452&id=9ad5f6adec3ceb01b173005f55c1e7a3', 'invest_type_name': '跟投', 'invest_type': '2'}]",7
1,北辰青年,https://img1.qimingpian.cn/uploadImg/202105/609e208b6530b.png,社交社区,青年文化社交平台,广东省,,战略融资,千万级人民币,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=659f4311d04856b1a570ed6469014699&id=292cc72429adf63156f54eee8c1f7052,"[{'investor': '电声股份', 'detail': 'http://vip.qimingpian.com/#/detailcom?src=magic&ticket=a5e0a07d3014572f8027cb8820482e61&id=1d1ee1de58890a580510369e69f4def9', 'invest_type_name': '独投', 'invest_type': '4'}]",8
2,火山湖,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202105/product609df5c62e385361712770.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=VmcK4MV0UuWknVxvem6mSt%2FlMXs%3D,企业服务,SaaS产业互联网企业,上海市,,Pre-A轮,数千万人民币,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=5d76fe9590aa515bb943dabc5e01624a&id=8eb1bd1aec3e288249edd9f65e91554b,"[{'investor': '唐竹资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=6d2f7c6b286150bbb60cf87996d0e201&id=2601c1805545f0ec3d97c493dc0d84d8', 'invest_type_name': '独投', 'invest_type': '4'}]",56
3,博物有道,https://img1.qimingpian.cn/uploadImg/202105/609ded2ec7c02.png,社交社区,文玩艺术品私域运营服务商,浙江省,,天使轮,数千万人民币,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=910c2444a9615a7c8e648aaa9049058d&id=91425aed1f53081d08970f6296c04e8a,"[{'investor': '未披露', 'detail': '', 'invest_type_name': '独投', 'invest_type': '4'}]",23
4,AnimocaBrands,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202001/product5e132ed931893402981826.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=46Ju%2BnKHEAo4MqM1usa8KZJueHk%3D,游戏,手机游戏开发商,香港,,战略融资,8888.89万美元,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=8877626ae0ee5fed8e3a74555015c71f&id=39171fb33a076cc0e30839e4ccba0ced,"[{'investor': 'Kingsway Capital', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=1580c98e2d485ac3be28136468341173&id=61c1ff32fa50e62e3e10169d621cd12d', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': 'Hashkey Fintech Investment', 'detail': '', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': 'RIT Capital Partners', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=ba0445f2050956e3b32bc7eade130fe4&id=1ad096fc45140c1b3046d19e0205a5d0', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '火币资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=387b27ccbf7b53998d87095885fb003c&id=18d06be57a0af81657e5af367125346b', 'invest_type_name': '合投', 'invest_type': '3'}]",21
5,咚吃,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202007/product5f0e5081a32c2745420000.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=8hVTPjyfaF%2FJjDrBHovPwIHisuo%3D,医疗健康,订阅制体重管理品牌,广东省,,A+轮,5000万人民币,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=67f425f90b9e5632ab646b34d051cf27&id=770d477cc59719bac64993b77fded031,"[{'investor': '三七互娱创投基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=0a774b16613956a49f53a9fd20136326&id=38b4af7f8b077b3ceaf9b22c1cf9d52a', 'invest_type_name': '独投', 'invest_type': '4'}]",71
6,SphereEx,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202105/product609de5648ceb4371949781.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=wYTzvRx%2BEoRuGTURLkJHdlqLOr0%3D,企业服务,分布式数据库中间件服务商,北京市,,天使轮,数百万美元,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=bd082da30a5f543c8dbfbd064f0532db&id=56edfb19cc824ee2e1394d0882a2251a,"[{'investor': '红杉中国种子基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=a44e48ec51235de2849454cff29d9732&id=7b118395b3dc904cb003aecd895be1e1', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': '初心资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=cf5e65323e90579dac99da2f26d4818d&id=249edad0cbe4061745b6b0b747e240be', 'invest_type_name': '合投', 'invest_type': '3'}]",89
7,镁佳科技,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202003/product5e60d27d9eae2127938770.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=dsXsrsdVc4qlM2qybVGDUcxCSgo%3D,汽车交通,汽车智能化零部件供应商,北京市,,战略融资,超1亿美元,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=f71e3046669a59b9949ad086e2ec65c1&id=a8bc56bc944a3923c8ab15942200e38a,"[{'investor': 'Transcendence Capital', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=7e3241ddcac355be817250b5b35cd220&id=420bf0f5dd301cc6f9866ea56e29e2bf', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '大湾区共同家园发展基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=6971c38ae6325b8fad3bb16164f5b7b7&id=b913914b764041a7e71b9ee1c51e3578', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '南山资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=539342cd17cd55e686c6ebd2b5eef7ec&id=bba76b223d07b5b443d713c9ad0c34ed', 'invest_type_name': '', 'invest_type': '0'}, {'investor': '红点中国', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=fabc379130a053eab5e28b00d8dbe56b&id=d8d3e7e68b724bb49d7c131b89898603', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '山行资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=42f44cc3af065b149bcc9c3fd1a67d90&id=42c61312c40bc68059cd51035a4c1df1', 'invest_type_name': '跟投', 'invest_type': '2'}]",112
8,思柯拉特,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202007/product5f1a976895c78066290646.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=oZzpPWlUTOFzsq7Uy8rjqkp4D3k%3D,医疗健康,CT球管研发制造商,浙江省,,A轮,数千万人民币,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=929f87edaf9e50f6b6697cacbec5b4df&id=e2cd19f9a70422f669d0abaebf6e7954,"[{'investor': '衍盈投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=c40b42565e2e523197254aa89e60c275&id=8f378e865d2730e78c951387de697e64', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '领复资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=b68fd70196dc5a89a521b9b99c1b8e31&id=5c0b77e8aba6bd7eff8c6a73f8c79174', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '东方富海', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=d8aa1bf221a35909aa10da635f31c841&id=13254b41c00c3a495c73d9ed1ff1acac', 'invest_type_name': '跟投', 'invest_type': '2'}]",18
9,LMK,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/201910/product5db79f0e9948f915203994.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1623570417&Signature=kXIkbLA97JktznEsac6jvmvA13Y%3D,社交社区,语音社交产品研发商,浙江省,,种子轮,数百万美元,2021.05.14,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=7865b9f3b72a5bcdb26915818d94cd06&id=d305744c8c5d7eeef18b18cbb0f831c6,"[{'investor': 'GGV纪源资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=c03f947873ba5122990396350304c9b3&id=0759a0ffeccffaae33e89357b0b94515', 'invest_type_name': '合投', 'invest_type': '3'}, {'investor': 'IDG资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=a8fae636163a56ad87b8ea6394b39e0c&id=8f723a76fb81fdf5d1471c6ac61cda77', 'invest_type_name': '合投', 'invest_type': '3'}]",71
